Authors,Title,Year,Source title,Link,Document Type,Source,EID
"Blanton M., Brizuela B.M., Gardiner A.M., Sawrey K., Newman-Owens A.","A learning trajectory in 6-year-olds' thinking about generalizing functional relationships",2015,"Journal for Research in Mathematics Education","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950991358&partnerID=40&md5=39d40ec22501cd01fa8c12a91d6c63f9",Article,Scopus,2-s2.0-84950991358
"Fu G., Sonkusale S.","Broadband resonant wireless power transfer using a metamaterial resonator embedded with non-foster impedance circuitry",2015,"2015 USNC-URSI Radio Science Meeting (Joint with AP-S Symposium), USNC-URSI 2015 - Proceedings","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954216178&doi=10.1109%2fUSNC-URSI.2015.7303627&partnerID=40&md5=761d79789eb47a861f015b6647931351",Conference Paper,Scopus,2-s2.0-84954216178
"Convergne E., Snyder M.R.","Making maps to make peace: geospatial technology as a tool for UN peacekeeping",2015,"International Peacekeeping","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949093076&doi=10.1080%2f13533312.2015.1094193&partnerID=40&md5=8872b6d4e366f98749960c10d7181b3c",Article,Scopus,2-s2.0-84949093076
"Schlissel A.C., Skeer M.R.","Trying to lose weight and alcohol misuse among high school girls: Findings from the U.S. National 2011 youth risk behavior survey",2015,"Substance Use and Misuse","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949098024&doi=10.3109%2f10826084.2015.1027925&partnerID=40&md5=8345cf1c0010e157755a5c9aee1996b1",Review,Scopus,2-s2.0-84949098024
"Remedios J.D., Snyder S.H.","Where Do We Go From Here? Toward an Inclusive and Intersectional Literature of Multiple Stigmatization",2015,"Sex Roles","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943197863&doi=10.1007%2fs11199-015-0543-4&partnerID=40&md5=a214bb0615289c84daa3b1b8b6ec02c2",Article,Scopus,2-s2.0-84943197863
"García-Sellers M.J.","Home visiting interventions to promote values that support school success",2015,"Home Visitation Programs: Preventing Violence and Promoting Healthy Early Child Development","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955410720&doi=10.1007%2f978-3-319-17984-1_11&partnerID=40&md5=1709efe63af77d4e7a7927760d62f130",Book Chapter,Scopus,2-s2.0-84955410720
"Napier S.","Not always happily ever after: Japanese fairy tales in cinema and animation",2015,"Fairy-Tale Films Beyond Disney: International Perspectives","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84967313036&doi=10.4324%2f9781315885629&partnerID=40&md5=8f3503aed720fadff836490e3c18272b",Book Chapter,Scopus,2-s2.0-84967313036
"Florance P., McGee M., Barnett C., McDonald S.","The Open Geoportal Federation",2015,"Journal of Map and Geography Libraries","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951863923&doi=10.1080%2f15420353.2015.1054543&partnerID=40&md5=75fc95870a4124f146d9286dad051696",Article,Scopus,2-s2.0-84951863923
"Zabel J.","The hedonic model and the housing cycle",2015,"Regional Science and Urban Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940738488&doi=10.1016%2fj.regsciurbeco.2015.07.005&partnerID=40&md5=0aed6c2f1575e0ac16ecbbae510925f1",Article,Scopus,2-s2.0-84940738488
"Song J.G.","The end of secret swiss accounts?: The impact of the U.S. foreign account tax compliance act (fatca) on switzerland’s status as a haven for offshore accounts",2015,"Northwestern Journal of International Law and Business","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949557900&partnerID=40&md5=665a4ec8d9d3ed3553d91a08ff047e5d",Note,Scopus,2-s2.0-84949557900
"Shevel O.","The parliamentary elections in Ukraine, October 2014",2015,"Electoral Studies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938415726&doi=10.1016%2fj.electstud.2015.03.015&partnerID=40&md5=31c899b1e5e6f89fc0cf88817e8d1a69",Article,Scopus,2-s2.0-84938415726
"Vossenaar M., Hernández L., Montenegro-Bethancourt G., Soto-Méndez M.J., Bermudez O.I., Solomons N.W.","The nutritional contribution of foods and beverages provided by government-sponsored day care centers in Guatemala",2015,"Food and Nutrition Bulletin","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945342280&doi=10.1177%2f0379572115596634&partnerID=40&md5=0acf73b7fc08623168c33041f1b3cec2",Article,Scopus,2-s2.0-84945342280
"Hojnacki M., Marchetti K.M., Baumgartner F.R., Berry J.M., Kimball D.C., Leech B.L.","Assessing business advantage in Washington lobbying",2015,"Interest Groups and Advocacy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975093680&doi=10.1057%2figa.2015.3&partnerID=40&md5=8e39915b63aeec10ba66950f382c9254",Article,Scopus,2-s2.0-84975093680
"Gordon S., Donini A.","Romancing principles and human rights: Are humanitarian principles salvageable?",2015,"International Review of the Red Cross","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959358857&doi=10.1017%2fS1816383115000727&partnerID=40&md5=7ce1301ea1cda68c2cefa7995599c572",Article,Scopus,2-s2.0-84959358857
"Samani A., Panetta K., Agaian S.","Quality assessment of color images affected by transmission error, quantization noise, and noneccentricity pattern noise",2015,"2015 IEEE International Symposium on Technologies for Homeland Security, HST 2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955474598&doi=10.1109%2fTHS.2015.7225335&partnerID=40&md5=b4ef7834429d6b2856038bd0c70b7232",Conference Paper,Scopus,2-s2.0-84955474598
"Wang J., Ferris K.A., Hershberg R.M., Lerner R.M.","Developmental Trajectories of Youth Character: A Five-Wave Longitudinal Study of Cub Scouts and Non-Scout Boys",2015,"Journal of Youth and Adolescence","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946501292&doi=10.1007%2fs10964-015-0340-y&partnerID=40&md5=350e9e70864357b07aa666c477916a5f",Article,Scopus,2-s2.0-84946501292
"Babbitt L.G., Brown D., Mazaheri N.","Gender, Entrepreneurship, and the Formal-Informal Dilemma: Evidence from Indonesia",2015,"World Development","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925384503&doi=10.1016%2fj.worlddev.2015.02.019&partnerID=40&md5=c8bd5b8d77eab3370855a1dd81926de7",Article,Scopus,2-s2.0-84925384503
"Strawhacker A., Bers M.U.","“I want my robot to look for food”: Comparing Kindergartner’s programming comprehension using tangible, graphic, and hybrid user interfaces",2015,"International Journal of Technology and Design Education","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957961553&doi=10.1007%2fs10798-014-9287-7&partnerID=40&md5=4d878be246afe330fa1d97f0cf7de707",Article,Scopus,2-s2.0-84957961553
"Gordon L.T., Thomas A.K., Bulevich J.B.","Looking for answers in all the wrong places: How testing facilitates learning of misinformation",2015,"Journal of Memory and Language","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928998952&doi=10.1016%2fj.jml.2015.03.007&partnerID=40&md5=e58deb2b0109ee2cf83b33226cb354c4",Article,Scopus,2-s2.0-84928998952
"Hobson A.J., Neilson B.T., von Stackelberg N., Shupryt M., Ostermiller J., Pelletier G., Chapra S.C.","Development of a minimalistic data collection strategy for QUAL2Kw",2015,"Journal of Water Resources Planning and Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951944704&doi=10.1061%2f%28ASCE%29WR.1943-5452.0000488&partnerID=40&md5=2a732c8685eeea278e1d18ac8b610010",Article,Scopus,2-s2.0-84951944704
"Carraher D.W., Schliemann A.D.","Powerful ideas in elementary school mathematics",2015,"Handbook of International Research in Mathematics Education: Third Edition","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941312812&doi=10.4324%2f9780203448946&partnerID=40&md5=ae6dde8703f74e1c467a582fb787f2ff",Book Chapter,Scopus,2-s2.0-84941312812
"Deitrick E., Shapiro R.B., Ahrens M.P., Fiebrink R., Lehrman P.D., Farooq S.","Using distributed cognition theory to analyze collaborative computer science learning",2015,"ICER 2015 - Proceedings of the 2015 ACM Conference on International Computing Education Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959312263&doi=10.1145%2f2787622.2787715&partnerID=40&md5=901bee5ab49510292f6643a6d34f5507",Conference Paper,Scopus,2-s2.0-84959312263
"Xiang M., Kuperberg G.","Reversing expectations during discourse comprehension",2015,"Language, Cognition and Neuroscience","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928388972&doi=10.1080%2f23273798.2014.995679&partnerID=40&md5=9887e0d1d9e899cba8927b150c288372",Article,Scopus,2-s2.0-84928388972
"Robinson C.","From the editor-in-chief",2015,"Journal of Museum Education","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949561903&partnerID=40&md5=7ab495659757184590ca439854c2a578",Editorial,Scopus,2-s2.0-84949561903
"Portelance D.J., Bers M.U.","Code and tell: Assessing young children's learning of computational thinking using peer video interviews with ScratchJr",2015,"Proceedings of IDC 2015: The 14th International Conference on Interaction Design and Children","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961955677&doi=10.1145%2f2771839.2771894&partnerID=40&md5=b9ed68d57dc1a7e1a4b403fe83de1d4c",Conference Paper,Scopus,2-s2.0-84961955677
"Sullivan A., Elkin M., Umaschi Bers M.","KIBO Robot demo: Engaging young children in programming and engineering",2015,"Proceedings of IDC 2015: The 14th International Conference on Interaction Design and Children","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961878441&doi=10.1145%2f2771839.2771868&partnerID=40&md5=052716cd6b1b70905f12e6e753706f51",Conference Paper,Scopus,2-s2.0-84961878441
"Umaschi Bers M., Revelle G., Hutchinson H.","IDC 2015 Chairs' Welcome",2015,"Proceedings of IDC 2015: The 14th International Conference on Interaction Design and Children","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961891798&doi=10.1145%2f2771839.2771956&partnerID=40&md5=7e2cddd05d54807c452281d438fe7405",Editorial,Scopus,2-s2.0-84961891798
"de Waal A.","Rethinking Activism: Social Movements and the State over the Longue Durée",2015,"The Social Practice of Human Rights","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84968739656&doi=10.1057%2f9781137503770&partnerID=40&md5=4a97929926c569b2d6b24cbd3177d5e5",Book Chapter,Scopus,2-s2.0-84968739656
"Twyman-Ghoshal A., Passas N.","State and corporate drivers of global dysnomie: Horrendous crimes and the law",2015,"The Routledge International Handbook of the Crimes of the Powerful","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942252623&partnerID=40&md5=cea247029fe7ca4c054c59a8ddab6b30",Book Chapter,Scopus,2-s2.0-84942252623
"Abramson D.M.","Architectures of Obsolescence: Lessons for History",2015,"Cultures of Obsolescence: History, Materiality, and the Digital Age","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84967361872&doi=10.1057%2f9781137463647_4&partnerID=40&md5=10f4cefae995641c453a38a32d051053",Book Chapter,Scopus,2-s2.0-84967361872
"Masters W.A., Colaiezzi B., Dennison K., Hill J., Jordan-Bell E., Kablan A., Thurber M., Weatherspoon L.J., Oehmke J.","Agricultural policy for improved nutrition in Africa and Asia: evidence to guide the US Government’s investments in food security",2015,"Food Security","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930090523&doi=10.1007%2fs12571-015-0444-y&partnerID=40&md5=798db420b7fb40ff51be83b6c81673e1",Article,Scopus,2-s2.0-84930090523
"Darrouzet-Nardi A.F., Masters W.A.","Urbanization, market development and malnutrition in farm households: evidence from the Demographic and Health Surveys, 1986–2011",2015,"Food Security","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930086288&doi=10.1007%2fs12571-015-0470-9&partnerID=40&md5=a29a15e347f42997b815564c095e49f2",Article,Scopus,2-s2.0-84930086288
"Chester C.C.","Yellowstone to Yukon: Transborder conservation across a vast international landscape",2015,"Environmental Science and Policy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928569066&doi=10.1016%2fj.envsci.2014.08.009&partnerID=40&md5=58ce018e7a8658fc98e6066f7937fb39",Article,Scopus,2-s2.0-84928569066
"Wen M., Su S., Li X., Lin D.","Positive youth development in rural China: The role of parental migration",2015,"Social Science and Medicine","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927553752&doi=10.1016%2fj.socscimed.2014.07.051&partnerID=40&md5=8cdc36e9b7119361476ca46c3e1f9d37",Article,Scopus,2-s2.0-84927553752
"Wagner R., Zahler A.","New exports from emerging markets: Do followers benefit from pioneers?",2015,"Journal of Development Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921656307&doi=10.1016%2fj.jdeveco.2014.12.002&partnerID=40&md5=b4ab61df8a0325ca90ba0ee11304b3c3",Article,Scopus,2-s2.0-84921656307
"Webb P., Luo H., Gentilini U.","Measuring multiple facets of malnutrition simultaneously: the missing link in setting nutrition targets and policymaking",2015,"Food Security","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930090530&doi=10.1007%2fs12571-015-0450-0&partnerID=40&md5=11e4205a9f81cf98ad04f6d2a1411d5c",Article,Scopus,2-s2.0-84930090530
"Young H., Goldman L.","Managing natural resources for livelihoods: Helping post-conflict communities survive and thrive",2015,"Livelihoods, Natural Resources, and Post-Conflict Peacebuilding","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941282519&doi=10.4324%2f9781849775816&partnerID=40&md5=66c0096e8becaad9108a4b03f044737a",Book Chapter,Scopus,2-s2.0-84941282519
"Young H., Goldman L.","Managing natural resources for livelihoods: Supporting post-conflict communities",2015,"Livelihoods, Natural Resources, and Post-Conflict Peacebuilding","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941276637&doi=10.4324%2f9781849775816&partnerID=40&md5=8a6f0cacb5425461e117977be5c833f9",Book Chapter,Scopus,2-s2.0-84941276637
"Young H., Goldman L.","Livelihoods, natural resources, and post-conflict peacebuilding",2015,"Livelihoods, Natural Resources, and Post-Conflict Peacebuilding","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941267312&doi=10.4324%2f9781849775816&partnerID=40&md5=829cac4415db34df7927970463d01011",Book,Scopus,2-s2.0-84941267312
"Kirshen P., Caputo L., Vogel R.M., Mathisen P., Rosner A., Renaud T.","Adapting urban infrastructure to climate change: A drainage case study",2015,"Journal of Water Resources Planning and Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925137377&doi=10.1061%2f%28ASCE%29WR.1943-5452.0000443&partnerID=40&md5=7add4a0706782fcf67e30e868760cc27",Article,Scopus,2-s2.0-84925137377
"Altinoglu S., Wang M., Xu Q.","Combinatorial library strategies for synthesis of cationic lipid-like nanoparticles and their potential medical applications",2015,"Nanomedicine","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924190196&doi=10.2217%2fnnm.14.192&partnerID=40&md5=8345eddc860a533228d80b153167cf1d",Review,Scopus,2-s2.0-84924190196
"Coffin J.L., Monje F., Asiimwe-Karimu G., Amuguni H.J., Odoch T.","A One Health, participatory epidemiology assessment of anthrax (Bacillus anthracis) management in Western Uganda",2015,"Social Science and Medicine","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923363972&doi=10.1016%2fj.socscimed.2014.07.037&partnerID=40&md5=58c695b8dbbac882c118790f8dbb1710",Article,Scopus,2-s2.0-84923363972
"Goldman L.S., Foldy E.G.","The space before action: The role of peer discussion groups in frontline service provision",2015,"Social Service Review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982734882&doi=10.1086%2f680319&partnerID=40&md5=c117780cf38166f89871d8df9a879157",Article,Scopus,2-s2.0-84982734882
"Lin Y., Wang S., Chen Y., Wang Q., Burke K.A., Spedden E.M., Staii C., Weiss A.S., Kaplan D.L.","Electrodeposited gels prepared from protein alloys",2015,"Nanomedicine","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961288732&doi=10.2217%2fnnm.14.230&partnerID=40&md5=d4de86645b2d140493b5f7264d952495",Article,Scopus,2-s2.0-84961288732
"Wilkins C.L., Wellman J.D., Babbitt L.G., Toosi N.R., Schad K.D.","You can win but I can't lose: Bias against high-status groups increases their zero-sum beliefs about discrimination",2015,"Journal of Experimental Social Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911379275&doi=10.1016%2fj.jesp.2014.10.008&partnerID=40&md5=3bf94a4ebd0a2c3933d1d8fce779b7f4",Article,Scopus,2-s2.0-84911379275
"Wasserman E.A., Brooks D.I., McMurray B.","Pigeons acquire multiple categories in parallel via associative learning: A parallel to human word learning?",2015,"Cognition","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84916918494&doi=10.1016%2fj.cognition.2014.11.020&partnerID=40&md5=3b4bc43ef22be8fea4198b7d00750d69",Article,Scopus,2-s2.0-84916918494
"Richter C.H., Xu J., Wilcox B.A.","Opportunities and challenges of the ecosystem approach",2015,"Futures","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924407354&doi=10.1016%2fj.futures.2014.12.002&partnerID=40&md5=8cc26fa9741cb0b440f4ed87517f5032",Article,Scopus,2-s2.0-84924407354
"Remedios J.D., Snyder S.H.","How Women of Color Detect and Respond to Multiple Forms of Prejudice",2015,"Sex Roles","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943200331&doi=10.1007%2fs11199-015-0453-5&partnerID=40&md5=54210bd5506dbab7f54ebcb0bf07126d",Article,Scopus,2-s2.0-84943200331
"Guerra R.C.C., Smith K.A., McKenna A.F., Swan C., Korte R., Jordan S., Lande M., Macneal R.","Innovation corps for learning: Evidence-based entrepreneurship™ to improve (STEM) education",2014,"Proceedings - Frontiers in Education Conference, FIE","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938125115&doi=10.1109%2fFIE.2014.7044484&partnerID=40&md5=6d07480027d02ab24a3993cfe24a6b56",Conference Paper,Scopus,2-s2.0-84938125115
"Castaño-Isaza J., Newball R., Roach B., Lau W.W.Y.","Valuing beaches to develop payment for ecosystem services schemes in Colombia's Seaflower marine protected area",2015,"Ecosystem Services","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923122757&doi=10.1016%2fj.ecoser.2014.10.003&partnerID=40&md5=5bd8d76508615e9d92c237d91ba5cca4",Article,Scopus,2-s2.0-84923122757
"Wiemeyer J., Deutsch J., Malone L.A., Rowland J.L., Swartz M.C., Xiong J., Zhang F.F.","Recommendations for the Optimal Design of Exergame Interventions for Persons with Disabilities: Challenges, Best Practices, and Future Research",2015,"Games for Health Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992690735&doi=10.1089%2fg4h.2014.0078&partnerID=40&md5=04abdebad696db03a7d2d79b9291f666",Conference Paper,Scopus,2-s2.0-84992690735
"Azzouni J.","The challenge of many logics: a new approach to evaluating the role of ideology in Quinean commitment",2015,"Synthese","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921326118&doi=10.1007%2fs11229-015-0657-9&partnerID=40&md5=3b8a6e482e0b4d49a455279b799c53ae",Article in Press,Scopus,2-s2.0-84921326118
"Berg K., Blatt B., Lopreiato J., Jung J., Schaeffer A., Heil D., Owens T., Carter-Nolan P.L., Berg D., Veloski J., Darby E., Hojat M.","Standardized Patient Assessment of Medical Student Empathy: Ethnicity and Gender Effects in a Multi-Institutional Study",2015,"Academic Medicine","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920716152&doi=10.1097%2fACM.0000000000000529&partnerID=40&md5=b1887810498bf69d1af8f00219e4df2d",Article,Scopus,2-s2.0-84920716152
"Krasny M.E., Kalbacker L., Stedman R.C., Russ A.","Measuring social capital among youth: applications in environmental education",2015,"Environmental Education Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84917683800&doi=10.1080%2f13504622.2013.843647&partnerID=40&md5=8ba593d8677530e5244195cf5b732158",Article,Scopus,2-s2.0-84917683800
"Robinson C.","From the editor-in-chief",2015,"Journal of Museum Education","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928379936&partnerID=40&md5=3af9df13befb5ce017e7d9999fdd508f",Editorial,Scopus,2-s2.0-84928379936
"Abramson D.M.","Architectures of obsolescence: Lessons for history",2015,"Cultures of Obsolescence: History, Materiality, and the Digital Age","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960210324&doi=10.1057%2f9781137463647.0008&partnerID=40&md5=3baea8fcd763c21d0e9a27aa4c5bd105",Book Chapter,Scopus,2-s2.0-84960210324
"Ostrander S.A.","Comment on the review of Citizenship and Governance in a Changing City (CS 44[3]:392-394)",2015,"Contemporary Sociology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940745398&doi=10.1177%2f0094306115599353&partnerID=40&md5=0a60ce8cb35e4c693b59420744d58f4f",Note,Scopus,2-s2.0-84940745398
"Rasmussen D.C.","If rousseau were rich: Another model of the good life",2015,"History of Political Thought","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013371984&partnerID=40&md5=d2134037008b2385b89abdc523d1bcf9",Article,Scopus,2-s2.0-85013371984
"Feldman D.H.","Why child prodigies are important [Por qué los niños prodigio son importantes]",2015,"Revista de Educacion","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926361945&doi=10.4438%2f1988-592X-RE-2015-368-295&partnerID=40&md5=5fa39cac826f2319d33f3d2ce35a4a89",Article,Scopus,2-s2.0-84926361945
"Levine P.","Jobs, jobs, jobs: The economic impact of public work",2015,"Democracy's Education: Public Work, Citizenship, and the Future of Higher Education","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951919388&partnerID=40&md5=cd98ffc01fd1aa92d699324ecaf03a21",Book Chapter,Scopus,2-s2.0-84951919388
"Pennington S.","For when we come to go: Ambivalent cosmopolitanism and a covert New Old Europe in The Graveyard and Gerry de Mol’s ‘Komen te Gaan’",2015,"Ethnomusicology Forum","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942084433&doi=10.1080%2f17411912.2015.1045914&partnerID=40&md5=cf34dc2f6a6b454618564078fb760bd1",Article,Scopus,2-s2.0-84942084433
"Murdoch H.A.","Locating history within Fiction's Frame: Re-presenting the Epopée Delgrès in Maximin and Lara",2015,"Journal of American Studies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929579740&doi=10.1017%2fS0021875815000031&partnerID=40&md5=58d06abdf710fbd57ef3c6a0bdf2c355",Review,Scopus,2-s2.0-84929579740
"Jalal A.","The pity of partition",2015,"New York Review of Books","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919807747&partnerID=40&md5=b638d4294526aee33760cd911f404f29",Letter,Scopus,2-s2.0-84919807747
"Webb P.","How strong is our evidence for effective management of wasting? A review of systematic and other reviews",2015,"Food and Nutrition Bulletin","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930347453&partnerID=40&md5=0a47010ed5a4093208c7e1ef19366a7f",Article,Scopus,2-s2.0-84930347453
"Carlton-Smith A.R., Skeer M.R.","Differences in adolescent substance use by hispanic subgroup: What we know and what we need to find out",2015,"Journal of Ethnicity in Substance Abuse","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948388205&doi=10.1080%2f15332640.2014.990073&partnerID=40&md5=e630ac72659db5ac3bb45fed417fd765",Article,Scopus,2-s2.0-84948388205
"Blanchette A.","Herding species: Biosecurity, posthuman labor, and the american industrial pig",2015,"Cultural Anthropology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947785762&doi=10.14506%2fca30.4.09&partnerID=40&md5=def55f9a3cb9807675b90927a7400265",Article,Scopus,2-s2.0-84947785762
"Davis M.E.","Bringing imagination back to the classroom: A model for creative arts in economics",2015,"International Review of Economics Education","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940183640&doi=10.1016%2fj.iree.2015.05.001&partnerID=40&md5=d1094b5560e384c376ef33bda37774e2",Article,Scopus,2-s2.0-84940183640
"Thacker G.","Artist statement",2015,"Frontiers","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940758651&partnerID=40&md5=2233be7786f6c96f560b6f47e2e6fb79",Article,Scopus,2-s2.0-84940758651
"Williams C.","Peacemaking from the inside out: How South Africa’s negotiated transition influenced the Mandela Administration’s regional conflict resolution strategies",2015,"South African Journal of International Affairs","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947228920&doi=10.1080%2f10220461.2015.1090912&partnerID=40&md5=ce97d0898ec78b28eb1cc3b2835898e1",Article,Scopus,2-s2.0-84947228920
"Chayes A.","Borderless wars: Civil military disorder and legal uncertainty",2015,"Borderless Wars: Civil Military Disorder and Legal Uncertainty","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954113469&doi=10.1017%2fCBO9781316271551&partnerID=40&md5=915f40bf7ab8126ee9d48407f2956dff",Book,Scopus,2-s2.0-84954113469
"Schildkraut D.J.","Latino Attitudes About Spheres of Political Representation",2015,"Hispanic Journal of Behavioral Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938379688&doi=10.1177%2f0739986315584016&partnerID=40&md5=84530710af034c0834483cd9d7984344",Article,Scopus,2-s2.0-84938379688
"Wilkerson-Jerde M.H., Gravel B.E., Macrander C.A.","Exploring Shifts in Middle School Learners’ Modeling Activity While Generating Drawings, Animations, and Computational Simulations of Molecular Diffusion",2015,"Journal of Science Education and Technology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939883505&doi=10.1007%2fs10956-014-9497-5&partnerID=40&md5=8c49d5e6ea334d7f71d090613b0737de",Article,Scopus,2-s2.0-84939883505
"Beaulieu M.-C.","Ulysse et l'hades brumeux : Catabase et anabase dans VOdyssee",2015,"Etudes Classiques","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989866117&partnerID=40&md5=ff2434c52582ba803fe74426d9fa9006",Article,Scopus,2-s2.0-84989866117
"Drezner D.W.","American think tanks in the twenty-first century",2015,"International Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947909072&doi=10.1177%2f0020702015593702&partnerID=40&md5=bb0ef643508fbaf3dcdd41c205dfd71b",Article,Scopus,2-s2.0-84947909072
"Keiser J.","Very like a whale: Metaphor and materialism in hobbes and swift",2015,"Modern Philology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944744336&doi=10.1086%2f682710&partnerID=40&md5=ccec889fa104f1b9ebaa5d67afd49315",Article,Scopus,2-s2.0-84944744336
"Cao Y., Brizuela B.M.","A Chinese young adult non-scientist’s epistemologies and her understandings of the concept of speed",2015,"International Journal of Mathematical Education in Science and Technology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84933179688&doi=10.1080%2f0020739X.2015.1023857&partnerID=40&md5=43ed5f4387446d3dfdf447e1f12cf304",Article,Scopus,2-s2.0-84933179688
"Theidon K.","From guns to god: Mobilizing evangelical christianity in Urabá, Colombia",2015,"Religious Reponses to Violence: Human Rights in Latin America Past and Present","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011416521&partnerID=40&md5=7ecb338077c8251385c49120c934cea7",Book Chapter,Scopus,2-s2.0-85011416521
"Lerner R.M.","Celia B. Fisher: The Consummate Applied Developmental Scientist",2015,"Applied Developmental Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921276016&doi=10.1080%2f10888691.2014.993287&partnerID=40&md5=d077a0c83a03085c2bdd3d53a52f7cef",Editorial,Scopus,2-s2.0-84921276016
"Powers M.","Wolkenwandelbarkeit: Benjamin, Stieglitz, and the Medium of Photography",2015,"German Quarterly","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941959524&doi=10.1111%2fgequ.10237&partnerID=40&md5=2ccda9505b4afe5a2f19cc8c3a14366f",Review,Scopus,2-s2.0-84941959524
"Art D.","The containment of the radical right in Western Europe: a response to Carvalho",2015,"Ethnic and Racial Studies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928474214&doi=10.1080%2f01419870.2015.1015932&partnerID=40&md5=ab30ead66fb5fba5dc8950b7d854c03a",Article,Scopus,2-s2.0-84928474214
"Strobino R.","Time and Necessity in Avicenna's Theory of Demonstration",2015,"Oriens","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946923963&doi=10.1163%2f18778372-04303003&partnerID=40&md5=e2891fc58ded28ff4dca0c78c7668f57",Review,Scopus,2-s2.0-84946923963
